"today","grDetails_count","grDetails.1..attend","grDetails.1..sp_att","grDetails.1..who","grDetails.1..sp_gen","grDetails.1..rep","grDetails.1..rep_some","grDetails.1..rep_gen","grDetails.1..gender2","grDetails.1..rep_rel","grDetails.2..attend","grDetails.2..sp_att","grDetails.2..who","grDetails.2..sp_gen","grDetails.2..rep","grDetails.2..rep_some","grDetails.2..rep_gen","grDetails.2..gender2","grDetails.2..rep_rel","grDetails.3..attend","grDetails.3..sp_att","grDetails.3..who","grDetails.3..sp_gen","grDetails.3..rep","grDetails.3..rep_some","grDetails.3..rep_gen","grDetails.3..gender2","grDetails.3..rep_rel","grDetails.4..attend","grDetails.4..sp_att","grDetails.4..who","grDetails.4..sp_gen","grDetails.4..rep","grDetails.4..rep_some","grDetails.4..rep_gen","grDetails.4..gender2","grDetails.4..rep_rel","grDetails.5..attend","grDetails.5..sp_att","grDetails.5..who","grDetails.5..sp_gen","grDetails.5..rep","grDetails.5..rep_some","grDetails.5..rep_gen","grDetails.5..gender2","grDetails.5..rep_rel","grDetails.6..attend","grDetails.6..sp_att","grDetails.6..who","grDetails.6..sp_gen","grDetails.6..rep","grDetails.6..rep_some","grDetails.6..rep_gen","grDetails.6..gender2","grDetails.6..rep_rel","grDetails.7..attend","grDetails.7..sp_att","grDetails.7..who","grDetails.7..sp_gen","grDetails.7..rep","grDetails.7..rep_some","grDetails.7..rep_gen","grDetails.7..gender2","grDetails.7..rep_rel","grDetails.8..attend","grDetails.8..sp_att","grDetails.8..who","grDetails.8..sp_gen","grDetails.8..rep","grDetails.8..rep_some","grDetails.8..rep_gen","grDetails.8..gender2","grDetails.8..rep_rel","grDetails.9..attend","grDetails.9..sp_att","grDetails.9..who","grDetails.9..sp_gen","grDetails.9..rep","grDetails.9..rep_some","grDetails.9..rep_gen","grDetails.9..gender2","grDetails.9..rep_rel","grDetails.10..attend","grDetails.10..sp_att","grDetails.10..who","grDetails.10..sp_gen","grDetails.10..rep","grDetails.10..rep_some","grDetails.10..rep_gen","grDetails.10..gender2","grDetails.10..rep_rel","before_cook.grow","before_cook.color1.color1_loc","before_cook.color1.color1_lmpr","before_cook.color1.same_cl1","before_cook.aromay.aroma1_loc_C","before_cook.aromay.aroma1_lmpr_C","before_cook.aromay.same_ar1","before_cook.eas1.eas1_loc","before_cook.eas1.eas1_lmpr","before_cook.eas1.same_eas1","before_cook.time1.time1_loc","before_cook.time1.time1_impr","before_cook.time1.same_tm1","before_cook.exp1.exp1_loc","before_cook.exp1.exp1_lmpr","before_cook.exp1.same_exp1","before_cook.aromax.aroma1_loc_E","before_cook.aromax.aroma1_lmpr_E","before_cook.aromax.same_exp1","before_cook.taste1.taste1_loc","before_cook.taste1.taste1_impr","before_cook.taste1.same_tast1","before_cook.text1.text1_loc","before_cook.text1.text1_lmpr","before_cook.text1.same_txt1","after_cooking.color2.color2_loc","after_cooking.color2.color2_lmpr","after_cooking.color2.same_cl2","after_cooking.aromam.aroma2_loc_C","after_cooking.aromam.aroma2_lmpr_C","after_cooking.aromam.same_ar2","after_cooking.eas2.eas2_loc","after_cooking.eas2.eas2_lmpr","after_cooking.eas2.same_eas2","after_cooking.time2.time2_loc","after_cooking.time2.time2_impr","after_cooking.time2.same_tm2","after_cooking.exp2.exp2_loc","after_cooking.exp2.exp2_lmpr","after_cooking.exp2.same_exp2","after_cooking.aroma2.aroma2_loc_E","after_cooking.aroma2.aroma2_lmpr_E","after_cooking.aroma2.same_exp2","after_cooking.taste2.taste2_loc","after_cooking.taste2.taste2_impr","after_cooking.taste2.same_tast2","after_cooking.text2.text2_loc","after_cooking.text2.text2_lmpr","after_cooking.text2.same_txt2","plant","timing.time1","timing.time2","wgt_bf.WL_b","wgt_bf.WR_b","wgt_aft.WL_a","wgt_aft.WR_a","diff_L","diff_R","x","grDetails.1..respondent_gender","grDetails.2..respondent_gender","grDetails.3..respondent_gender","grDetails.4..respondent_gender","grDetails.5..respondent_gender","grDetails.6..respondent_gender","grDetails.7..respondent_gender","grDetails.8..respondent_gender","grDetails.9..respondent_gender","grDetails.10..respondent_gender"
"2023-07-11",10,"Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Male","n/a","q","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a",15,0,15,1,15,0,0,15,0,0,15,0,0,2,12,1,15,0,0,15,0,0,15,0,0,0,15,0,3,8,1,9,0,3,15,0,0,9,5,0,2,11,1,4,9,1,9,4,1,14,5.37,6.26,993,993,585,605,408,388,1,"Male","Female","Female","Male","Male","Female","Female","Male","Male","Female"
"2023-07-06",10,"Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",7,0,13,0,10,3,0,4,9,0,4,8,1,9,4,0,11,1,1,11,2,0,0,12,1,0,13,0,8,2,2,2,10,0,0,11,1,0,12,0,10,2,0,9,3,0,1,11,0,12,7.06,7.05,964,964,560,547,404,417,1,"Male","Male","Male","Male","Male","Female","Male","Male","Male","Female"
"2023-07-07",10,"Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","Yes","Female","Female","b","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",7,1,14,1,4,8,6,2,9,3,0,10,0,2,9,6,7,3,8,11,4,2,0,11,2,0,16,0,3,13,0,0,16,0,16,0,0,16,0,0,7,9,0,4,13,0,0,16,0,16,3.5,4.12,992,992,557,555,435,437,1,NA,NA,NA,"Male","Female","Female",NA,NA,"Male",NA
"2023-07-04",10,"Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a",18,1,17,0,4,14,0,2,16,0,0,18,0,3,15,0,4,14,0,3,15,0,0,18,0,0,18,0,1,17,0,0,18,0,0,18,0,0,18,0,0,18,0,1,17,0,2,16,0,18,7.15,5.49,999,999,619,607,380,392,1,"Male","Male","Male","Female","Male","Male","Male",NA,"Female","Male"
"2023-07-06",10,"Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","Yes","Female","Female","b","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a",11,0,17,0,7,9,1,15,0,2,0,12,5,0,17,0,16,0,1,16,0,1,4,11,2,0,17,0,13,1,3,17,0,0,9,8,0,0,17,0,15,1,1,12,4,1,0,16,1,17,7.21,7.26,988,988,630,582,358,406,1,"Male","Male","Male","Male","Female","Female","Male",NA,"Male","Male"
"2023-07-08",10,"Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",8,2,9,0,7,3,1,3,8,0,6,5,0,6,4,0,6,5,0,6,5,0,0,11,0,0,11,0,11,0,0,9,2,0,11,0,0,11,0,0,11,0,0,11,0,0,11,0,0,9,4.25,4.36,995,995,609,612,386,383,1,"Female","Female","Male","Male","Female","Female","Female","Male","Male","Male"
"2023-07-11",10,"Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b","Yes","Yes","f","Male","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Male","n/a","q","No","n/a","n/a","n/a","Yes","No","Female","n/a","d",8,1,14,0,3,12,0,4,11,0,2,10,3,1,13,1,0,14,1,1,14,0,0,14,1,0,15,0,2,13,0,0,15,0,0,15,0,1,14,0,0,15,0,0,15,0,4,9,2,14,4.15,4.12,990,990,513,582,477,408,1,NA,"Female","Male","Male","Male","Male","Male","Male","Female","Female"
"2023-07-06",10,"Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b","Yes","Yes","d","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",14,0,16,0,15,2,0,0,17,0,0,17,0,0,17,0,12,4,1,11,6,0,0,17,0,0,17,0,1,6,10,1,6,10,17,0,0,0,17,0,17,0,0,7,9,1,0,17,0,17,4.12,4.56,997,999,585,588,412,411,1,"Female",NA,"Female","Male","Male","Male","Male","Male","Female","Male"
"2023-07-13",10,"Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","d","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",15,0,15,0,0,16,0,0,15,0,0,14,0,0,15,0,13,3,0,10,6,0,0,16,0,0,16,0,16,0,0,0,16,0,16,0,0,0,16,0,16,0,0,8,9,0,1,16,0,16,4.22,4.26,979,979,553,575,426,404,1,NA,"Female","Female","Male","Male","Male","Male","Female","Male",NA
"2023-07-10",10,"Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a",11,0,18,0,15,0,0,1,16,0,1,17,0,17,1,0,18,0,0,16,2,0,0,18,0,0,16,0,7,11,0,9,7,0,18,0,0,18,0,0,0,18,0,16,2,0,1,17,0,18,3.41,4,994,994,600,618,394,376,1,"Male","Male",NA,NA,"Male","Female","Male","Male","Male","Male"
"2023-07-08",10,"Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Female","n/a","n/a","n/a","n/a","n/a",16,18,0,0,16,2,0,16,2,0,10,7,1,16,2,0,14,4,0,17,1,0,5,13,0,3,15,0,18,0,0,9,9,0,0,18,0,18,0,0,17,1,0,17,1,0,6,12,0,7,6.09,5.17,986,986,636,650,350,336,1,"Female","Male","Female","Female","Male","Female","Male","Female","Female","Male"
"2023-07-04",10,"Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a",13,1,15,0,14,0,0,14,0,2,1,16,0,13,2,1,16,1,0,1,14,0,0,17,0,0,20,0,19,1,0,20,0,0,20,0,0,1,0,0,0,20,0,0,20,0,18,2,0,20,8,9,993,993,557,589,436,404,1,"Male","Female","Male","Female","Male","Male","Male","Female","Female",NA
"2023-07-04",10,"Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","d","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","d","Female","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Male","n/a","f",12,0,13,0,11,2,0,1,9,1,0,11,0,12,1,0,11,2,0,4,10,0,4,10,0,0,15,0,12,2,0,1,14,0,0,15,0,0,15,0,0,15,0,15,0,0,2,13,0,15,5,3.3,991,991,552,551,439,440,1,"Female","Female","Female","Female",NA,NA,"Male","Male","Female",NA
"2023-07-08",10,"Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","f","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","d","Female","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Male","n/a","b","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","Yes","Female","Female","d","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Female","n/a","b",4,0,11,4,8,4,3,1,12,2,0,12,3,8,5,2,8,5,2,7,7,1,2,13,0,11,4,0,4,11,0,0,15,0,0,15,0,1,14,0,0,15,0,1,14,0,3,12,0,15,9.13,6.33,984,984,520,587,464,397,1,"Male",NA,NA,"Male","Female","Female","Male","Male",NA,NA
"2023-07-09",10,"Yes","Yes","q","Male","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","c","Male","n/a","n/a","n/a","n/a","n/a","No","n/a","n/a","n/a","Yes","No","Male","n/a","q","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","Yes","b","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a","Yes","Yes","d","Female","n/a","n/a","n/a","n/a","n/a","Yes","No","n/a","n/a","n/a","n/a","n/a","n/a","n/a",16,0,16,0,16,0,0,11,0,0,16,0,0,0,16,1,16,0,0,15,0,0,0,17,0,0,17,0,0,10,3,1,16,0,0,17,0,17,0,0,0,16,1,0,17,0,0,16,1,16,6.41,6.3,1000,1000,612,629,388,371,1,"Female","Male","Male","Female","Male","Male","Male","Female",NA,"Male"
